"","tool","run","parameter","moment","value"
"1","nm7","0001","ofv","minimum","2641.7825682304"
"2","nm7","0001","THETA1","estimate","9.23638"
"3","nm7","0001","THETA1","prse",NA
"4","nm7","0001","THETA1","se",NA
"5","nm7","0001","THETA2","estimate","23.3418"
"6","nm7","0001","THETA2","prse",NA
"7","nm7","0001","THETA2","se",NA
"8","nm7","0001","THETA3","estimate","0.0677011"
"9","nm7","0001","THETA3","prse",NA
"10","nm7","0001","THETA3","se",NA
"11","nm7","0001","THETA4","estimate","3.82773"
"12","nm7","0001","THETA4","prse",NA
"13","nm7","0001","THETA4","se",NA
"14","nm7","0001","THETA5","estimate","114.89"
"15","nm7","0001","THETA5","prse",NA
"16","nm7","0001","THETA5","se",NA
"17","nm7","0001","THETA6","estimate","0.981208"
"18","nm7","0001","THETA6","prse",NA
"19","nm7","0001","THETA6","se",NA
"20","nm7","0001","THETA7","estimate","1.59771"
"21","nm7","0001","THETA7","prse",NA
"22","nm7","0001","THETA7","se",NA
"23","nm7","0001","OMEGA1.1","estimate","0.278894"
"24","nm7","0001","OMEGA1.1","prse",NA
"25","nm7","0001","OMEGA1.1","se",NA
"26","nm7","0001","OMEGA2.1","estimate","0.156227"
"27","nm7","0001","OMEGA2.1","prse",NA
"28","nm7","0001","OMEGA2.1","se",NA
"29","nm7","0001","OMEGA2.2","estimate","0.101945"
"30","nm7","0001","OMEGA2.2","prse",NA
"31","nm7","0001","OMEGA2.2","se",NA
"32","nm7","0001","OMEGA3.1","estimate","0.0159528"
"33","nm7","0001","OMEGA3.1","prse",NA
"34","nm7","0001","OMEGA3.1","se",NA
"35","nm7","0001","OMEGA3.2","estimate","-0.0135472"
"36","nm7","0001","OMEGA3.2","prse",NA
"37","nm7","0001","OMEGA3.2","se",NA
"38","nm7","0001","OMEGA3.3","estimate","0.0359496"
"39","nm7","0001","OMEGA3.3","prse",NA
"40","nm7","0001","OMEGA3.3","se",NA
"41","nm7","0001","SIGMA1.1","estimate","0.0487438"
"42","nm7","0001","SIGMA1.1","prse",NA
"43","nm7","0001","SIGMA1.1","se",NA
"44","nm7","0001","SIGMA2.1","estimate","0"
"45","nm7","0001","SIGMA2.1","prse",NA
"46","nm7","0001","SIGMA2.1","se",NA
"47","nm7","0001","SIGMA2.2","estimate","0.252073"
"48","nm7","0001","SIGMA2.2","prse",NA
"49","nm7","0001","SIGMA2.2","se",NA
"50","nm7","0001","cov","status","0"
"51","nm7","0001","prob","text","0001 phase1 2 CMT like 1004 but diff. initial on V3"
"52","nm7","0001","min","status","0"
"53","nm7","0001","data","filename","../../1005bootdata/0001.csv"
"54","nm7","0002","ofv","minimum","2538.79790404427"
"55","nm7","0002","THETA1","estimate","8.72103"
"56","nm7","0002","THETA1","prse",NA
"57","nm7","0002","THETA1","se",NA
"58","nm7","0002","THETA2","estimate","24.1893"
"59","nm7","0002","THETA2","prse",NA
"60","nm7","0002","THETA2","se",NA
"61","nm7","0002","THETA3","estimate","0.0756513"
"62","nm7","0002","THETA3","prse",NA
"63","nm7","0002","THETA3","se",NA
"64","nm7","0002","THETA4","estimate","3.85272"
"65","nm7","0002","THETA4","prse",NA
"66","nm7","0002","THETA4","se",NA
"67","nm7","0002","THETA5","estimate","121.72"
"68","nm7","0002","THETA5","prse",NA
"69","nm7","0002","THETA5","se",NA
"70","nm7","0002","THETA6","estimate","0.941112"
"71","nm7","0002","THETA6","prse",NA
"72","nm7","0002","THETA6","se",NA
"73","nm7","0002","THETA7","estimate","1.37675"
"74","nm7","0002","THETA7","prse",NA
"75","nm7","0002","THETA7","se",NA
"76","nm7","0002","OMEGA1.1","estimate","0.20069"
"77","nm7","0002","OMEGA1.1","prse",NA
"78","nm7","0002","OMEGA1.1","se",NA
"79","nm7","0002","OMEGA2.1","estimate","0.127894"
"80","nm7","0002","OMEGA2.1","prse",NA
"81","nm7","0002","OMEGA2.1","se",NA
"82","nm7","0002","OMEGA2.2","estimate","0.0896405"
"83","nm7","0002","OMEGA2.2","prse",NA
"84","nm7","0002","OMEGA2.2","se",NA
"85","nm7","0002","OMEGA3.1","estimate","-0.00534085"
"86","nm7","0002","OMEGA3.1","prse",NA
"87","nm7","0002","OMEGA3.1","se",NA
"88","nm7","0002","OMEGA3.2","estimate","-0.0287155"
"89","nm7","0002","OMEGA3.2","prse",NA
"90","nm7","0002","OMEGA3.2","se",NA
"91","nm7","0002","OMEGA3.3","estimate","0.0788879"
"92","nm7","0002","OMEGA3.3","prse",NA
"93","nm7","0002","OMEGA3.3","se",NA
"94","nm7","0002","SIGMA1.1","estimate","0.0475918"
"95","nm7","0002","SIGMA1.1","prse",NA
"96","nm7","0002","SIGMA1.1","se",NA
