"","tool","run","parameter","moment","value"
"1","nm7","0001","ofv","minimum","2459.17577376723"
"2","nm7","0001","THETA1","estimate","9.90624"
"3","nm7","0001","THETA1","prse",NA
"4","nm7","0001","THETA1","se",NA
"5","nm7","0001","THETA2","estimate","21.8851"
"6","nm7","0001","THETA2","prse",NA
"7","nm7","0001","THETA2","se",NA
"8","nm7","0001","THETA3","estimate","0.0708172"
"9","nm7","0001","THETA3","prse",NA
"10","nm7","0001","THETA3","se",NA
"11","nm7","0001","THETA4","estimate","3.36908"
"12","nm7","0001","THETA4","prse",NA
"13","nm7","0001","THETA4","se",NA
"14","nm7","0001","THETA5","estimate","94.6441"
"15","nm7","0001","THETA5","prse",NA
"16","nm7","0001","THETA5","se",NA
"17","nm7","0001","THETA6","estimate","0.972459"
"18","nm7","0001","THETA6","prse",NA
"19","nm7","0001","THETA6","se",NA
"20","nm7","0001","THETA7","estimate","1.46934"
"21","nm7","0001","THETA7","prse",NA
"22","nm7","0001","THETA7","se",NA
"23","nm7","0001","OMEGA1.1","estimate","0.195914"
"24","nm7","0001","OMEGA1.1","prse",NA
"25","nm7","0001","OMEGA1.1","se",NA
"26","nm7","0001","OMEGA2.1","estimate","0.118664"
"27","nm7","0001","OMEGA2.1","prse",NA
"28","nm7","0001","OMEGA2.1","se",NA
"29","nm7","0001","OMEGA2.2","estimate","0.100511"
"30","nm7","0001","OMEGA2.2","prse",NA
"31","nm7","0001","OMEGA2.2","se",NA
"32","nm7","0001","OMEGA3.1","estimate","0.00243903"
"33","nm7","0001","OMEGA3.1","prse",NA
"34","nm7","0001","OMEGA3.1","se",NA
"35","nm7","0001","OMEGA3.2","estimate","-0.0290796"
"36","nm7","0001","OMEGA3.2","prse",NA
"37","nm7","0001","OMEGA3.2","se",NA
"38","nm7","0001","OMEGA3.3","estimate","0.0326459"
"39","nm7","0001","OMEGA3.3","prse",NA
"40","nm7","0001","OMEGA3.3","se",NA
"41","nm7","0001","SIGMA1.1","estimate","0.048072"
"42","nm7","0001","SIGMA1.1","prse",NA
"43","nm7","0001","SIGMA1.1","se",NA
"44","nm7","0001","SIGMA2.1","estimate","0"
"45","nm7","0001","SIGMA2.1","prse",NA
"46","nm7","0001","SIGMA2.1","se",NA
"47","nm7","0001","SIGMA2.2","estimate","0.184009"
"48","nm7","0001","SIGMA2.2","prse",NA
"49","nm7","0001","SIGMA2.2","se",NA
"50","nm7","0001","cov","status","0"
"51","nm7","0001","prob","text","0001 phase1 2 CMT like 1004 but diff. initial on V3"
"52","nm7","0001","min","status","0"
"53","nm7","0001","data","filename","../../1005bootdata/0001.csv"
"54","nm7","0002","ofv","minimum","2453.95591117689"
"55","nm7","0002","THETA1","estimate","9.03057"
"56","nm7","0002","THETA1","prse",NA
"57","nm7","0002","THETA1","se",NA
"58","nm7","0002","THETA2","estimate","20.8195"
"59","nm7","0002","THETA2","prse",NA
"60","nm7","0002","THETA2","se",NA
"61","nm7","0002","THETA3","estimate","0.0685548"
"62","nm7","0002","THETA3","prse",NA
"63","nm7","0002","THETA3","se",NA
"64","nm7","0002","THETA4","estimate","3.26366"
"65","nm7","0002","THETA4","prse",NA
"66","nm7","0002","THETA4","se",NA
"67","nm7","0002","THETA5","estimate","115.755"
"68","nm7","0002","THETA5","prse",NA
"69","nm7","0002","THETA5","se",NA
